SNID,redshift_hel,redshift_HD,expected_distance,measured_distance,discrepancy,PV
2001ah,0.057763,0.05886,247.3844535922,252.08262968399998,4.698176091799979,-138
2001az,0.040695,0.04101,174.286486833,175.63555289399997,1.3490660609999736,-121
2001da,0.017381,0.01659,74.4384673214,71.050812546,-3.3876547753999944,-129
2001en,0.015881,0.01509,68.0143432214,64.626688446,-3.3876547753999944,-46
2001fe,0.013514,0.01467,57.877075391599995,62.827933698,4.950858306400008,-57
2001gb,0.025439,0.0265,108.9488619866,113.49285909999999,4.543997113399996,9
2001G,0.016703,0.0177,71.53476322819999,75.80466437999999,4.269901151799999,-127
2001ic,0.044089,0.0439,188.8221382966,188.01269865999998,-0.8094396366000183,-317
2001V,0.015007,0.0157,64.2712202458,67.23916557999999,2.967945334199996,102
2002bf,0.024376,0.02525,104.39629937439999,108.13942235,3.7431229756000164,-92
2002bz,0.037128,0.03827,159.0099197232,163.900819538,4.890899814800008,-131
2002ck,0.029742,0.02987,127.37753265479999,127.925724578,0.5481919232000081,95
2002cr,0.009417,0.01015,40.3306510998,43.46990640999999,3.1392553101999923,51
2002de,0.027894,0.02651,119.46301176359998,113.535686594,-5.927325169599982,448
2002dj,0.00937,0.00948,40.129361878,40.600464312,0.4711024340000023,281
2002dp,0.01169,0.01061,50.065340486,45.439971134,-4.625369352,-34
2002eu,0.037626,0.0379,161.1427289244,162.31620226,1.173473335600022,-343
2002fk,0.007185,0.00719,30.771554439,30.792968186,0.021413747000000427,-153
2002G,0.03365,0.03484,144.11451731,149.210989096,5.096471785999995,-106
2002ha,0.01407,0.01346,60.258284057999994,57.645806924,-2.6124771339999953,-116
2002he,0.024564,0.02535,105.20145626159999,108.56769729,3.3662410284000117,-146
2002kf,0.0193,0.02001,82.65706342,85.697815494,3.0407520739999967,-157
2003ae,0.03275,0.03444,140.26004285,147.497889336,7.237846485999995,-217
2003ch,0.02862,0.02981,122.57228782799999,127.66875961399998,5.096471785999995,-164
2003cq,0.033194,0.03422,142.1615835836,146.55568446799998,4.39410088439999,-159
2003du,0.006377,0.00747,27.311092923799997,31.992138018000002,4.681045094200005,-245
2003fa,0.040388,0.04056,172.97168276719998,173.70831566399997,0.7366328967999891,-120
2003hu,0.075,0.07523,321.20620499999995,322.19123736200004,0.9850323620000836,-147
2001ay,0.030254,0.03085,129.57030034759998,132.12281898999998,2.5525186424000026,25
2001bf,0.015607,0.01554,66.84086988579999,66.55392567599999,-0.2869442097999979,-72
2001C,0.010941,0.01136,46.857561185399994,48.652033184,1.7944719986000024,-78
2001cp,0.022416,0.02193,96.00211055039999,93.920694342,-2.081416208399986,137
2001eh,0.037129,0.03725,159.0142024726,159.53241515,0.5182126773999869,-283
2001ep,0.013129,0.01284,56.228216872599994,54.990502296,-1.2377145765999913,66
2001fh,0.013303,0.01288,56.9734152682,55.161812272,-1.8116029962000013,-139
2001gc,0.019323,0.02008,82.75556665619999,85.997607952,3.242041295800007,-214
2001ie,0.030614,0.03161,131.11209013159998,135.377708534,4.265618402400008,-151
2001N,0.021028,0.02192,90.0576543832,93.877866848,3.8202124647999938,51
2002ar,0.030077,0.03189,128.8122537038,136.57687836600002,7.764624662200021,-207
2002bo,0.00437,0.00613,18.715614877999997,26.253253821999998,7.537638944000001,-210
2002cd,0.010337,0.01065,44.2707805478,45.61128110999999,1.340500562199992,-275
2002do,0.01498,0.01487,64.155586012,63.68448357799999,-0.4711024340000094,-182
2002es,0.017784,0.0177,76.1644153296,75.80466437999999,-0.35975094960001286,-130
2002hw,0.017525,0.01679,75.05518323499999,71.90736242599999,-3.1478208089999953,-141
2002jy,0.019527,0.02017,83.6292475338,86.383055398,2.753807864199999,-453
2003ai,0.036188,0.03781,154.9841352872,161.930754814,6.946619526800021,-249
2003cg,0.004046,0.00503,17.3280040724,21.542229481999996,4.214225409599997,60
2003D,0.022182,0.02375,94.9999471908,101.71529824999999,6.715351059199989,-118
2003K,0.021845,0.02208,93.55666064299999,94.563106752,1.0064461090000094,-54
2003kf,0.007405,0.00797,31.713759306999997,34.13351271799999,2.419753410999995,-75
