SNID,zcmb,redshift_diff,radial_distance_m,angular_velocity
2001ah,0.058373,-0.0004869999999999944,7.633486623373864e+24,-1.9126112908739123e-23
2001az,0.040593,-0.0004170000000000007,5.377919050918398e+24,-2.32456929534206e-23
2001da,0.016148,-0.0004420000000000014,2.2969310977764507e+24,-5.768926484746336e-23
2001en,0.014937,-0.00015300000000000036,2.098703340647133e+24,-2.1855516778210626e-23
2001fe,0.014478,-0.0001920000000000012,1.7858999398970688e+24,-3.2230334214198956e-23
2001gb,0.026529,2.9000000000001247e-05,3.361810609075147e+24,2.5861008524784616e-24
2001G,0.017272,-0.0004280000000000013,2.207332151553999e+24,-5.812952614932335e-23
2001ic,0.042802,-0.0010979999999999948,5.826442389383001e+24,-5.649624537330345e-23
2001V,0.016045,0.00034500000000000156,1.9832026341597835e+24,5.21522088708901e-23
2002bf,0.024936,-0.0003140000000000018,3.2213332051895036e+24,-2.922232064051964e-23
2002bz,0.037813,-0.0004569999999999991,4.90653344446488e+24,-2.792300406319596e-23
2002ck,0.030198,0.00032799999999999843,3.930459968360117e+24,2.5017918262891248e-23
2002cr,0.010319,0.00016900000000000075,1.2444738592578586e+24,4.0711924179921486e-23
2002de,0.028046,0.0015360000000000026,3.6862433715767974e+24,1.2491883174035498e-22
2002dj,0.010426,0.0009459999999999989,1.2382627228678064e+24,2.2903351609517553e-22
2002dp,0.010491,-0.00011899999999999931,1.5448549872278184e+24,-2.3092978173969406e-23
2002eu,0.036718,-0.0011820000000000025,4.972345059831812e+24,-7.126510350590726e-23
2002fk,0.00668,-0.00051,9.495109566494333e+23,-1.6102410668279384e-22
2002G,0.034479,-0.0003610000000000002,4.446909351601034e+24,-2.4337144920445808e-23
2002ha,0.013065,-0.0003949999999999995,1.8593763618730027e+24,-6.368695619573975e-23
2002he,0.024847,-0.000503,3.2461777507497116e+24,-4.645328073583568e-23
2002kf,0.019478,-0.0005320000000000047,2.5505304750638915e+24,-6.253192785395207e-23
2003ae,0.03369,-0.0007500000000000007,4.327972697323443e+24,-5.195142373219016e-23
2003ch,0.029246,-0.0005639999999999951,3.782185606027387e+24,-4.470508957639298e-23
2003cq,0.03367,-0.0005500000000000019,4.3866481134337213e+24,-3.7588119137035915e-23
2003du,0.006644,-0.0008260000000000012,8.427322714757739e+23,-2.938401419876312e-22
2003fa,0.040148,-0.0004119999999999957,5.33734843662593e+24,-2.3141545687446238e-23
2003hu,0.074704,-0.0005259999999999987,9.9113878564659e+24,-1.591006579417904e-23
2001ay,0.030932,8.200000000000221e-05,3.9981217094602573e+24,6.1486326186201424e-24
2001bf,0.015297,-0.00024299999999999843,2.0624937370115104e+24,-3.532110958046171e-23
2001C,0.011096,-0.00026400000000000035,1.4458732605012453e+24,-5.473869050221081e-23
2001cp,0.022401,0.0004709999999999992,2.962315602540528e+24,4.766617290774234e-23
2001eh,0.036266,-0.0009839999999999988,4.906665596302966e+24,-6.012143539887263e-23
2001ep,0.013065,0.0002249999999999995,1.7350214822338772e+24,3.887750309762867e-23
2001fh,0.012412,-0.0004680000000000014,1.7580159020608785e+24,-7.980750923784411e-23
2001gc,0.01935,-0.0007300000000000015,2.553569967339874e+24,-8.570295591625441e-23
2001ie,0.031088,-0.0005219999999999982,4.045696371171294e+24,-3.8681020204858475e-23
2001N,0.022097,0.00017700000000000007,2.778888851276866e+24,1.9095137627263534e-23
2002ar,0.031181,-0.0007090000000000013,3.9747308341189984e+24,-5.347603689222213e-23
